627673299,[[6.69730000e+04 0.00000000e+00 3.45943162e+00]],0.279090909,0,0,,,,,
627675424,[[8.476e+04 0.000e+00 4.000e+00]],0.891875,0,0,,,,,
627677532,[[8.476e+04 0.000e+00 4.000e+00]],0.894375,0,1,,,,,
627679685,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.692857143,0,0,,,,,
627681924,[[8.476e+04 0.000e+00 4.000e+00]],0.884375,0,0,,,,,
627684004,[[8.476e+04 0.000e+00 3.875e+00]],0.889375,0,1,,,,,
627686156,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.687857143,0,0,,,,,
627688408,[[8.476e+04 0.000e+00 3.875e+00]],0.895625,0,0,,,,,
627689781, client_big_img.txt,,,,,,,,
627690497,[[6.61635273e+05 0.00000000e+00 2.73215889e+00]],0.417272727,2,2,,,,,
627692818,[[1.669582e+06 0.000000e+00 1.000000e-10]],0,3,3,,,,,
627695021,[[1.669582e+06 0.000000e+00 1.000000e-10]],0,3,0,,,,,
627697117,[[1.671167e+06 0.000000e+00 1.000000e-10]],0,3,1,,,,,
627699365,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.64,3,2,,,,,
627701548,[[1.669582e+06 0.000000e+00 1.000000e-10]],0,3,3,,,,,
627703656,[[1.669582e+06 0.000000e+00 1.000000e-10]],0,3,1,,,,,
627705780,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.647272727,3,1,,,,,
627707877,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.983076923,3,1,,,,,
627709921, client_med_img_2.txt,,,,,,,,
627710008,[[1.46109900e+06 0.00000000e+00 8.11278124e-01]],0.808333333,2,2,,,,,
627712145,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.355,2,3,,,,,
627714284,[[8.24536e+05 0.00000e+00 1.00000e-10]],0,2,1,,,,,
627716727,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.784166667,2,1,,,,,
627718821,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.985333333,2,1,,,,,
627720946,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.984,2,1,,,,,
627723050,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.984,2,0,,,,,
627725164,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.226,2,1,,,,,
627727296,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.833846154,2,2,,,,,
627729534,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.363,2,1,,,,,
627730046, client_small_txt_1.txt,,,,,,,,
