804161718, client_big_img.txt,,,
804182578, client_med_img_2.txt,,,
804185706,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.611358299,0,1
804187755,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.872896493,0,0
804189886,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.452457595,0,3
804192061,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.210077404,0,1
804194205,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.64483709,0,2
804196302,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.506247902,0,1
804198419,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.669476872,0,0
804200487,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.442442969,0,2
804202634,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.518819312,0,1
804202640, client_small_txt_1.txt,,,
804204725,[[0.00e+00 9.18e+02 1.00e-10]],0.879620923,1,0
804206858,[[0.00e+00 9.18e+02 1.00e-10]],0.855247497,1,2
804208993,[[0.00e+00 5.84e+02 1.00e-10]],0.90147348,1,3
804211105,[[0.00e+00 5.84e+02 1.00e-10]],0.730304394,1,2
804213258,[[0.00e+00 5.84e+02 1.00e-10]],0.930150386,1,1
804215348,[[0.00e+00 9.18e+02 1.00e-10]],0.920428824,1,0
804217459,[[0.00e+00 9.18e+02 1.00e-10]],0.784840902,1,3
804219580,[[0.00e+00 5.84e+02 1.00e-10]],0.752341997,1,2
804221689,[[0.00e+00 5.84e+02 1.00e-10]],0.891534701,1,1
804222750, client_var_big_img.txt,,,
804223822,[[3.27675700e+06 9.18000000e+02 5.03258335e-01]],0.461180948,2,0
804225897,[[3.27675700e+06 0.00000000e+00 2.80735492e+00]],0.315374318,2,2
804227988,[[3.272815e+06 0.000000e+00 1.000000e-10]],0.013800475,2,3
804230954,[[3.272815e+06 0.000000e+00 1.000000e-10]],0.046575123,2,1
804233425,[[3.2767570e+06 0.0000000e+00 1.5849625e+00]],0.166362463,2,0
804235635,[[3.276757e+06 0.000000e+00 3.000000e+00]],0.325882835,2,3
804237802,[[3.272814e+06 0.000000e+00 1.000000e-10]],0.048641091,2,2
804240181,[[3.272814e+06 0.000000e+00 1.000000e-10]],0.008170136,2,0
804242812, client_var_med_img.txt,,,
804243186,[[2.212758e+06 0.000000e+00 3.169925e+00]],0.355751645,2,1
804245269,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.529812486,0,3
804247369,[[6.69730000e+04 0.00000000e+00 3.45943162e+00]],0.443500505,0,0
804249542,[[8.476e+04 0.000e+00 4.000e+00]],0.655320643,0,2
804251628,[[6.6973000e+04 0.0000000e+00 3.5849625e+00]],0.441480695,0,1
804253772,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.541596309,0,0
804255880,[[8.476e+04 0.000e+00 4.000e+00]],0.669803868,0,3
