0.984,1,,,,,
895186031, client_big_img.txt,,,,,
895206125, client_med_img_2.txt,,,,,
895226234, client_small_txt_1.txt,,,,,
895246296, client_var_big_img.txt,,,,,
895266671, client_var_med_img.txt,,,,,
895286828, client_big_img.txt,,,,,
895306953, client_med_img_2.txt,,,,,
895314198,0.987333333,1,,,,
895316232,0.986666667,0,,,,
895318304,0.660769231,1,,,,
895320475,0.929333333,2,,,,
895322547,0.810714286,1,,,,
895324642,0.910714286,1,,,,
895326676,0.9875,2,,,,
895327000, client_small_txt_1.txt,,,,,
895328836,0.99,2,,,,
895330894,0.994736842,2,,,,
895332937,0.991666667,0,,,,
895334979,0.973529412,2,,,,
895337116,0.99,1,,,,
895339208,0.988333333,2,,,,
895341280,0.988888889,0,,,,
895343366,0.973529412,2,,,,
895345507,0.985555556,1,,,,
895347093, client_var_big_img.txt,,,,,
895347600,0.725833333,2,,,,
895349993,0,0,,,,
895352941,0.196,1,,,,
895355008,0,3,,,,
895357252,0,0,,,,
895359590,0.156,1,,,,
895361740,0,2,,,,
895364047,0,0,,,,
895367067,0.309090909,1,,,,
895367156, client_var_med_img.txt,,,,,
895369126,0.818,1,,,,
895371187,0.795333333,1,,,,
895373213,0.870625,2,,,,
895375275,0.576923077,0,,,,
895377403,0.92125,1,,,,
895379546,0.820666667,0,,,,
895381630,0.923529412,0,,,,
895383674,0.90625,1,,,,
895385821,0.785714286,0,,,,
895387187, client_big_img.txt,,,,,
895387965,0.763571429,2,,,,
895390120,0.604166667,1,,,,
895392197,0.890714286,3,,,,
895394289,0,0,,,,
895396653,0.466666667,1,,,,
895398753,0.883571429,1,,,,
895400796,0.98875,1,,,,
895402854,0.988666667,1,,,,
895404887,0.986666667,1,,,,
895406923,0.984666667,1,,,,
895407281, client_med_img_2.txt,,,,,
895408953,0.934,2,,,,
895411102,0.812857143,1,,,,
895413204,0.933333333,1,,,,
895415233,0.992352941,1,,,,
895417274,0.988125,2,,,,
895419405,0.796153846,1,,,,
895421436,0.942,0,,,,
895423587,0.739285714,1,,,,
895425736,0.9475,1,,,,
895427312, client_small_txt_1.txt,,,,,
895427778,0.991875,2,,,,
895429913,0.991111111,2,,,,
895431960,0.997777778,2,,,,
895434001,0.993888889,2,,,,
895436035,0.997368421,2,,,,
895438075,0.995555556,2,,,,
895440118,0.997222222,2,,,,
895442153,0.995789474,2,,,,
895444230,0.991578947,2,,,,
895446264,0.995,2,,,,
895447328, client_var_big_img.txt,,,,,
895448306,0,1,,,,
895451136,0,0,,,,
895453430,0.18,1,,,,
895455509,0,2,,,,
895457787,0,0,,,,
895460804,0.189,3,,,,
895462904,0,1,,,,
895465394,0,0,,,,
895467390, client_var_med_img.txt,,,,,
895467669,0.508333333,2,,,,
895469805,0.640769231,2,,,,
895471844,0.5175,1,,,,
895474025,0.775,0,,,,
895476153,0.89375,0,,,,
895478197,0.912352941,1,,,,
895480300,0.816666667,0,,,,
895482483,0.935294118,0,,,,
895484511,0.912352941,0,,,,
895486540,0.91375,0,,,,
895487468, client_big_img.txt,,,,,
895488585,0.64,1,,,,
895490636,0.887857143,1,,,,
895492661,0.993333333,1,,,,
895494698,0.989333333,1,,,,
895496725,0.982,2,,,,
895498853,0.58,1,,,,
895500902,0.878571429,1,,,,
895502937,0.984,1,,,,
895504973,0.99,1,,,,
895507002,0.986,1,,,,
895507531, client_med_img_2.txt,,,,,
895509042,0.93625,1,,,,
895511071,0.99,1,,,,
895513100,0.9875,0,,,,
895515161,0.658461538,1,,,,
895517324,0.935333333,1,,,,
895519358,0.98875,1,,,,
895521392,0.986666667,1,,,,
895523421,0.993529412,1,,,,
895525452,0.98875,1,,,,
895527489,0.98875,1,,,,
895527640, client_small_txt_1.txt,,,,,
895529523,0.993333333,1,,,,
895531555,0.991111111,1,,,,
895533585,0.99,1,,,,
895535625,0.990526316,2,,,,
895537732,0.991666667,2,,,,
895539774,0.995555556,2,,,,
895541812,0.994444444,2,,,,
895543873,0.990526316,2,,,,
895545911,0.989444444,2,,,,
895547734, client_var_big_img.txt,,,,,
895547961,0.996428571,2,,,,
895549998,0,1,,,,
895552750,0,0,,,,
895555035,0.17,1,,,,
895557181,0,3,,,,
895559492,0,2,,,,
895561964,0,0,,,,
895564778,0,1,,,,
895566971,0,2,,,,
895568906, client_var_med_img.txt,,,,,
895569272,0,1,,,,
895571344,0.713571429,0,,,,
895573448,0.91375,0,,,,
895575497,0.941176471,0,,,,
895577531,0.89375,0,,,,
895579588,0.91,0,,,,
895581637,0.902352941,0,,,,
895583691,0.922352941,1,,,,
895585810,0.754285714,0,,,,
895587857,0.91375,0,,,,
895589000, client_big_img.txt,,,,,
895589891,0.6,1,,,,
895592081,0.825384615,1,,,,
895594149,0.987857143,1,,,,
895596218,0.987142857,1,,,,
895598264,0.991333333,1,,,,
895600302,0.983571429,1,,,,
895602349,0.986428571,1,,,,
895604384,0.982857143,1,,,,
895606412,0.986428571,1,,,,
895608490,0.994285714,1,,,,
895609125, client_med_img_2.txt,,,,,
895610556,0.875384615,1,,,,
895612613,0.988666667,1,,,,
895614649,0.9975,1,,,,
895616685,0.995625,1,,,,
895618743,0.995789474,1,,,,
895620770,0.999444444,1,,,,
895622794,0.997222222,1,,,,
895624828,0.998947368,1,,,,
895626855,1,1,,,,
895628880,0.988666667,1,,,,
895629218, client_small_txt_1.txt,,,,,
895630936,0.987777778,1,,,,
895632979,0.997368421,1,,,,
895635007,1,1,,,,
895637032,0.993684211,1,,,,
895639071,0.993888889,0,,,,
895641210,0.982222222,0,,,,
895643230,0.999444444,0,,,,
895645263,0.988333333,0,,,,
895647293,0.975555556,0,,,,
895649234, client_var_big_img.txt,,,,,
895649318,0.936875,0,,,,
895651352,0.309166667,1,,,,
895653490,0,2,,,,
895655793,0,0,,,,
895658248,0,1,,,,
895660342,0,3,,,,
895662573,0,1,,,,
895665251,0,2,,,,
895667579,0,0,,,,
895669406, client_var_med_img.txt,,,,,
895670330,0.670769231,0,,,,
895672374,0.904375,0,,,,
895674401,0.91,0,,,,
895676432,0.905625,1,,,,
895678561,0.777857143,0,,,,
