6666667,0.333333333,0,100,1,2,,,
1125604312, client_big_img.txt,,,,,,,
1125624437, client_med_img_2.txt,,,,,,,
1125644546, client_small_txt_1.txt,,,,,,,
1125651482,[[0.00e+00 5.84e+02 1.00e-10]],0.999444444,0.055555556,0,100,1,3,
1125653548,[[0.00e+00 5.84e+02 1.00e-10]],0.985,1.5,0,100,1,1,
1125655603,[[0.00e+00 9.18e+02 1.00e-10]],0.9995,0.05,0,100,1,2,
1125657680,[[0.00e+00 5.84e+02 1.00e-10]],0.997619048,0.238095238,0,100,1,0,
1125659780,[[0.00e+00 9.18e+02 1.00e-10]],0.976470588,2.352941176,0,100,1,3,
1125661818,[[0.00e+00 5.84e+02 1.00e-10]],0.980555556,1.944444444,0,100,1,1,
1125663923,[[0.00e+00 9.18e+02 1.00e-10]],0.998888889,0.111111111,0,100,1,2,
1125664640, client_var_big_img.txt,,,,,,,
1125665997,[[3.272814e+06 5.840000e+02 1.000000e+00]],0,512,0,100,2,0,
1125668618,[[3.276757e+06 0.000000e+00 3.169925e+00]],0,109.4444444,0,100,2,1,
1125670813,[[3.276757e+06 0.000000e+00 2.000000e+00]],0,368.5,0,100,2,3,
1125673119,[[3.274786e+06 0.000000e+00 1.000000e+00]],0,482.5,0,100,2,0,
1125675193,[[3.27675700e+06 0.00000000e+00 3.32192809e+00]],0.236,76.4,0,100,2,1,
1125677257,[[3.27675700e+06 0.00000000e+00 2.32192809e+00]],0,293.6,0,100,2,2,
1125679587,[[3.272815e+06 0.000000e+00 1.000000e-10]],0,990,0,100,2,3,
1125681888,[[3.272815e+06 0.000000e+00 1.000000e-10]],0,915,0,100,2,0,
1125684020,[[3.276757e+06 0.000000e+00 3.000000e+00]],0,132.625,0,100,2,1,
1125684703, client_var_med_img.txt,,,,,,,
1125686174,[[8.476e+04 0.000e+00 4.000e+00]],0.923125,7.6875,0,100,0,2,
1125688232,[[6.69730000e+04 0.00000000e+00 3.80735492e+00]],0.754285714,24.57142857,0,100,0,1,
1125690270,[[8.476e+04 0.000e+00 4.000e+00]],0.9225,7.75,0,100,0,0,
1125692306,[[8.47600000e+04 0.00000000e+00 4.24792751e+00]],0.969473684,3.052631579,0,100,0,0,
1125694332,[[8.47600000e+04 0.00000000e+00 4.08746284e+00]],0.972552029,6.705882353,2.92256192,244.3125,0,2,
1125696425,[[6.69725833e+04 0.00000000e+00 3.58496250e+00]],0.79773173,49.41666667,2.92256192,244.3125,0,1,
