949575703, client_big_img.txt,,,,,,,,,,,,,,,
949596500, client_big_txt_2.txt,,,,,,,,,,,,,,,
949616546, client_med_img_2.txt,,,,,,,,,,,,,,,
949636687, client_med_txt_3.txt,,,,,,,,,,,,,,,
949656796, client_small_img_2.txt,,,,,,,,,,,,,,,
949676906, client_small_txt_1.txt,,,,,,,,,,,,,,,
949697000, client_var_big_img.txt,,,,,,,,,,,,,,,
949713864,[[3.27675700e+06 0.00000000e+00 2.32192809e+00]],0,3,1,,,,,,,,,,,,
949716347,[[3.276757e+06 0.000000e+00 1.000000e+00]],0,3,2,,,,,,,,,,,,
949717171, client_var_big_txt.txt,,,,,,,,,,,,,,,
949718818,[[0.00000000e+00 1.19711000e+04 3.32192809e+00]],0.304,2,3,,,,,,,,,,,,
949721088,[[0.00000000e+00 1.19719000e+04 3.32192809e+00]],0.233,2,0,,,,,,,,,,,,
949723169,[[0.0000e+00 8.2628e+04 4.0000e+00]],0.8725,2,1,,,,,,,,,,,,
949725269,[[0.00000000e+00 8.26280000e+04 3.54659356e+00]],0.686923077,2,0,,,,,,,,,,,,
949727468,[[0.0000e+00 8.2628e+04 4.0000e+00]],0.87625,2,2,,,,,,,,,,,,
949729712,[[0.00000000e+00 1.19720000e+04 3.32192809e+00]],0.267,2,3,,,,,,,,,,,,
949732036,[[0.00000000e+00 1.19712727e+04 3.45943162e+00]],0.342727273,2,1,,,,,,,,,,,,
949734160,[[0.00000000e+00 8.26280000e+04 3.70043972e+00]],0.645384615,4,0,,,,,,,,,,,,
949736286,[[0.0000e+00 8.2628e+04 3.8750e+00]],0.88125,4,2,,,,,,,,,,,,
949737265, client_var_med_img.txt,,,,,,,,,,,,,,,
949738523,[[6.69720000e+04 1.19710000e+04 3.32192809e+00]],0.199,3,3,,,,,,,,,,,,
949740639,[[6.69730000e+04 0.00000000e+00 3.32192809e+00]],0.269,3,3,,,,,,,,,,,,
949742745,[[6.69730000e+04 0.00000000e+00 3.32192809e+00]],0.238,3,2,,,,,,,,,,,,
949745008,[[6.69721111e+04 0.00000000e+00 3.16992500e+00]],0.038888889,3,0,,,,,,,,,,,,
949747126,[[8.476e+04 0.000e+00 4.000e+00]],0.920625,3,0,,,,,,,,,,,,
949749197,[[8.476e+04 0.000e+00 3.875e+00]],0.894375,3,1,,,,,,,,,,,,
949751374,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.677142857,3,0,,,,,,,,,,,,
949753514,[[8.476e+04 0.000e+00 3.875e+00]],0.89,3,0,,,,,,,,,,,,
949755591,[[8.476e+04 0.000e+00 4.000e+00]],0.89375,3,1,,,,,,,,,,,,
949757406, client_var_med_txt.txt,,,,,,,,,,,,,,,
949757768,[[8.4760000e+04 3.8690000e+03 3.9068906e+00]],0.815333333,3,0,,,,,,,,,,,,
949759971,[[   0.         3869.            4.05881389]],0.967222222,2,1,,,,,,,,,,,,
949762175,[[   0.         3869.            3.96981578]],0.963529412,2,1,,,,,,,,,,,,
949764305,[[   0.         3869.            4.05881389]],0.989444444,2,0,,,,,,,,,,,,
949766434,[[   0.         3869.            4.05881389]],0.966666667,2,1,,,,,,,,,,,,
949768529,[[   0.         3869.            4.08746284]],0.961176471,2,0,,,,,,,,,,,,
949770691,[[   0.         3869.            4.05881389]],0.97,2,1,,,,,,,,,,,,
949772809,[[   0.         3869.            3.96981578]],0.963529412,2,0,,,,,,,,,,,,
949774921,[[   0.         3869.            3.96981578]],0.966470588,2,3,,,,,,,,,,,,
949777084,[[   0.  1951.5    4. ]],0.910625,2,2,,,,,,,,,,,,
949777453, client_var_small_img_1.txt,,,,,,,,,,,,,,,
949779228,[[2.96853846e+04 0.00000000e+00 3.70043972e+00]],0.626153846,0,0,,,,,,,,,,,,
949781475,[[2.9687e+04 0.0000e+00 4.0000e+00]],0.94375,0,1,,,,,,,,,,,,
949783678,[[2.9687e+04 0.0000e+00 4.0000e+00]],0.8775,0,0,,,,,,,,,,,,
949785801,[[2.9687e+04 0.0000e+00 4.0000e+00]],0.944375,0,1,,,,,,,,,,,,
949788015,[[2.9687e+04 0.0000e+00 4.0000e+00]],0.88,0,0,,,,,,,,,,,,
949790152,[[2.9687e+04 0.0000e+00 4.0000e+00]],0.94375,0,1,,,,,,,,,,,,
949792377,[[2.9687e+04 0.0000e+00 4.0000e+00]],0.871875,0,0,,,,,,,,,,,,
949794500,[[2.9687e+04 0.0000e+00 3.8750e+00]],0.944375,0,0,,,,,,,,,,,,
949796582,[[2.9687e+04 0.0000e+00 4.0000e+00]],0.946875,0,1,,,,,,,,,,,,
949797500, client_var_small_txt.txt,,,,,,,,,,,,,,,
949798760,[[2.96870000e+04 7.10000000e+01 4.08746284e+00]],0.958235294,0,2,,,,,,,,,,,,
949800947,[[  0.     108.4375   3.875 ]],0.94875,1,0,,,,,,,,,,,,
949803113,[[ 0.         71.          4.05881389]],0.966666667,1,1,,,,,,,,,,,,
949805221,[[ 0.       71.        4.169925]],0.973888889,1,3,,,,,,,,,,,,
949807421,[[  0.     108.6875   4.    ]],0.945,1,0,,,,,,,,,,,,
949809590,[[ 0.         71.          4.05881389]],0.968888889,1,1,,,,,,,,,,,,
949811695,[[ 0.         71.          4.05881389]],0.976666667,1,3,,,,,,,,,,,,
949813904,[[  0.     108.6875   4.    ]],0.944375,1,2,,,,,,,,,,,,
