time,workload,reward,category,action,,,,,,
521831066,[[0.00e+00 5.84e+02 1.00e-10]],0.9877777777777778,1,0,,,,,,
521831781, client_var_big_img.txt,,,,,,,,,
521833160,[[3.27675700e+06 9.18000000e+02 3.12192809e+00]],0.2609999999999999,3,1,,,,,,
521835204,[[3.27675700e+06 0.00000000e+00 2.32192809e+00]],0,3,2,,,,,,
521837472,[[3.272815e+06 0.000000e+00 1.000000e+00]],0,3,3,,,,,,
521840330,[[3.272815e+06 0.000000e+00 1.000000e+00]],0,3,0,,,,,,
521842682,[[3.27675700e+06 0.00000000e+00 3.32192809e+00]],0.17599999999999993,3,1,,,,,,
521844782,[[3.27675700e+06 0.00000000e+00 2.32192809e+00]],0,3,2,,,,,,
521847013,[[3.272815e+06 0.000000e+00 1.000000e+00]],0,3,3,,,,,,
521849883,[[3.2728145e+06 0.0000000e+00 1.0000000e+00]],0,3,0,,,,,,
521851828, client_var_med_img.txt,,,,,,,,,
521852130,[[1.94675825e+06 0.00000000e+00 3.58496250e+00]],0.5133333333333334,2,2,,,,,,
521854271,[[6.69728333e+04 0.00000000e+00 3.58496250e+00]],0.51,0,0,,,,,,
521856323,[[8.476e+04 0.000e+00 4.000e+00]],0.895,0,1,,,,,,
521858424,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.7707142857142857,0,0,,,,,,
521860567,[[8.476e+04 0.000e+00 4.000e+00]],0.9075,0,3,,,,,,
521862722,[[6.69730000e+04 0.00000000e+00 3.70043972e+00]],0.6046153846153846,0,0,,,,,,
521864793,[[8.476e+04 0.000e+00 4.000e+00]],0.900625,0,1,,,,,,
521866847,[[8.4760000e+04 0.0000000e+00 3.9068906e+00]],0.7953333333333333,0,0,,,,,,
521868987,[[8.476e+04 0.000e+00 3.875e+00]],0.909375,0,1,,,,,,
521871131,[[8.4760000e+04 0.0000000e+00 3.9068906e+00]],0.7833333333333333,0,0,,,,,,
521871906, client_big_img.txt,,,,,,,,,
521873256,[[1.40676583e+06 0.00000000e+00 8.16689088e-01]],0.5566666666666666,2,2,,,,,,
521875454,[[1.669582e+06 0.000000e+00 1.000000e-10]],0.5790909090909091,2,1,,,,,,
521877604,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.8615384615384616,2,3,,,,,,
521879646,[[1.669582e+06 0.000000e+00 1.000000e-10]],0,2,1,,,,,,
521881954,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.8685714285714285,2,1,,,,,,
521883992,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.985,2,2,,,,,,
521886036,[[1.669582e+06 0.000000e+00 1.000000e-10]],0.5963636363636363,2,1,,,,,,
521888074,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.8878571428571429,2,1,,,,,,
521890108,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.9842857142857143,2,1,,,,,,
521891921, client_med_img_2.txt,,,,,,,,,
521892155,[[1.43108929e+06 0.00000000e+00 8.63120569e-01]],0.9157142857142857,2,1,,,,,,
521894186,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.983125,2,2,,,,,,
521896227,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.8214285714285714,2,1,,,,,,
521898335,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.9133333333333333,2,1,,,,,,
521900365,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.9846666666666667,2,2,,,,,,
521902509,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.7946153846153846,2,1,,,,,,
521904636,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.9235714285714286,2,0,,,,,,
521906669,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.6053846153846154,2,1,,,,,,
521908708,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.9213333333333333,2,2,,,,,,
521910826,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.8164285714285714,2,1,,,,,,
521911953, client_small_txt_1.txt,,,,,,,,,
521912960,[[8.30895000e+05 9.18000000e+02 8.11278124e-01]],0.926875,2,2,,,,,,
521915095,[[0.00e+00 5.84e+02 1.00e-10]],0.9888888888888889,1,0,,,,,,
521917177,[[0.00e+00 9.18e+02 1.00e-10]],0.9670588235294117,1,3,,,,,,
521919342,[[0.00e+00 5.84e+02 1.00e-10]],0.935,1,1,,,,,,
521921412,[[0.00e+00 9.18e+02 1.00e-10]],0.9966666666666667,1,0,,,,,,
521923478,[[0.00e+00 9.18e+02 1.00e-10]],0.9994444444444445,1,3,,,,,,
521925548,[[0.00e+00 5.84e+02 1.00e-10]],0.9861111111111112,1,1,,,,,,
521927610,[[0.00e+00 9.18e+02 1.00e-10]],0.9989473684210526,1,2,,,,,,
521929670,[[0.00e+00 5.84e+02 1.00e-10]],0.9994444444444445,1,0,,,,,,
521931742,[[0.00e+00 9.18e+02 1.00e-10]],0.9923529411764705,1,3,,,,,,
521932000, client_var_big_img.txt,,,,,,,,,
521933962,[[3.272814e+06 0.000000e+00 1.000000e+00]],0,3,0,,,,,,
521936375,[[3.27675700e+06 0.00000000e+00 3.32192809e+00]],0.17099999999999993,3,1,,,,,,
521938471,[[3.27675700e+06 0.00000000e+00 2.32192809e+00]],0,3,2,,,,,,
521940669,[[3.272814e+06 0.000000e+00 1.000000e-10]],0,3,0,,,,,,
521943622,[[3.27675700e+06 0.00000000e+00 3.32192809e+00]],0.17900000000000005,3,0,,,,,,
521945664,[[3.27675700e+06 0.00000000e+00 3.45943162e+00]],0.17727272727272736,3,1,,,,,,
521947818,[[3.27675700e+06 0.00000000e+00 2.32192809e+00]],0,3,2,,,,,,
521950065,[[3.272815e+06 0.000000e+00 1.000000e+00]],0,3,3,,,,,,
521952046, client_var_med_img.txt,,,,,,,,,
521952886,[[4.23176778e+05 0.00000000e+00 3.16992500e+00]],0,2,2,,,,,,
521954963,[[6.69730000e+04 0.00000000e+00 3.70043972e+00]],0.5607692307692308,0,0,,,,,,
