236040218, client_var_med_img.txt,,,,,,,,,,
236060234, client_var_med_img.txt,,,,,,,,,,
236080359, client_var_med_img.txt,,,,,,,,,,
236100421, client_var_med_img.txt,,,,,,,,,,
236100866,[[8.476e+04 0.000e+00 3.875e+00]],0.893125,10.6875,0,100,0,0,,,,
236103052,[[6.69727778e+04 0.00000000e+00 3.16992500e+00]],0,105,0,100,0,2,,,,
236105264,[[8.47600000e+04 0.00000000e+00 3.70043972e+00]],0.663076923,33.69230769,0,100,0,1,,,,
236107466,[[8.476e+04 0.000e+00 4.000e+00]],0.8825,11.75,0,100,0,0,,,,
236109567,[[8.47600000e+04 0.00000000e+00 4.08746284e+00]],0.874705882,12.52941176,0,100,0,0,,,,
236111672,[[8.47600000e+04 0.00000000e+00 4.08746284e+00]],0.9,10,0,100,0,0,,,,
236113736,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.688571429,31.14285714,0,100,0,1,,,,
236116050,[[8.476e+04 0.000e+00 4.000e+00]],0.873125,12.6875,0,100,0,0,,,,
236118172,[[8.47600000e+04 0.00000000e+00 4.08746284e+00]],0.891764706,10.82352941,0,100,0,0,,,,
236120393,[[8.47600000e+04 0.00000000e+00 3.70043972e+00]],0.58,42,0,100,0,1,,,,
236120562, client_var_med_img.txt,,,,,,,,,,
236122616,[[6.69723000e+04 0.00000000e+00 3.32192809e+00]],0.153,84.7,0,100,0,3,,,,
236124817,[[8.476e+04 0.000e+00 4.000e+00]],0.918125,8.1875,0,100,0,0,,,,
236126954,[[8.47600000e+04 0.00000000e+00 3.96981578e+00]],0.878235294,12.17647059,0,100,0,0,,,,
236129048,[[8.47600000e+04 0.00000000e+00 4.08746284e+00]],0.890588235,10.94117647,0,100,0,0,,,,
236131194,[[8.47600000e+04 0.00000000e+00 3.70043972e+00]],0.590769231,40.92307692,0,100,0,1,,,,
236133392,[[8.476e+04 0.000e+00 4.000e+00]],0.891875,10.8125,0,100,0,0,,,,
236135609,[[6.69725556e+04 0.00000000e+00 3.16992500e+00]],0,103.7777778,0,100,0,2,,,,
236137753,[[8.476e+04 0.000e+00 4.000e+00]],0.88125,11.875,0,100,0,0,,,,
236139844,[[8.476e+04 0.000e+00 4.000e+00]],0.876875,12.3125,0,100,0,0,,,,
236140734, client_var_med_img.txt,,,,,,,,,,
236142037,[[8.47600000e+04 0.00000000e+00 3.70043972e+00]],0.670769231,32.92307692,0,100,0,1,,,,
236144224,[[8.476e+04 0.000e+00 4.000e+00]],0.881875,11.8125,0,100,0,0,,,,
236146306,[[8.476e+04 0.000e+00 3.875e+00]],0.885,11.5,0,100,0,0,,,,
236148581,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.664285714,33.57142857,0,100,0,1,,,,
236150731,[[8.476e+04 0.000e+00 4.000e+00]],0.88,12,0,100,0,0,,,,
