31543,[[1.669582e+06 0.000000e+00 1.000000e-10]],0,2,3,,,,,,
947876140, client_big_img.txt,,,,,,,,,
947886343, client_med_img_2.txt,,,,,,,,,
947896453, client_small_txt_1.txt,,,,,,,,,
947906484, client_var_big_img.txt,,,,,,,,,
947917093, client_var_med_img.txt,,,,,,,,,
947927125, client_big_img.txt,,,,,,,,,
947933696,[[1.669582e+06 0.000000e+00 1.000000e-10]],0,2,0,,,,,,
947936008,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.273,2,1,,,,,,
947937406, client_med_img_2.txt,,,,,,,,,
947938229,[[9.07283364e+05 0.00000000e+00 4.39496987e-01]],0.491818182,2,2,,,,,,
947940370,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.422727273,2,3,,,,,,
947942487,[[8.24536e+05 0.00000e+00 1.00000e-10]],0,2,1,,,,,,
947945104,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.86,2,1,,,,,,
947947216,[[8.30895000e+05 9.18000000e+02 8.11278124e-01]],0.9925,2,1,,,,,,
947947468, client_small_txt_1.txt,,,,,,,,,
947949297,[[0.00e+00 9.18e+02 1.00e-10]],0.997368421,1,2,,,,,,
947951493,[[0.00e+00 5.84e+02 1.00e-10]],0.997222222,1,0,,,,,,
947953578,[[0.00e+00 9.18e+02 1.00e-10]],0.983888889,1,3,,,,,,
947955652,[[0.00e+00 5.84e+02 1.00e-10]],0.966111111,1,1,,,,,,
947957546, client_var_big_img.txt,,,,,,,,,
947957852,[[3.27675700e+06 9.18000000e+02 4.68995594e-01]],0.228,3,0,,,,,,
947960666,[[3.27675700e+06 0.00000000e+00 2.80735492e+00]],0,3,2,,,,,,
947964983,[[3.272815e+06 0.000000e+00 1.000000e-10]],0,3,3,,,,,,
947968248,[[3.272815e+06 0.000000e+00 1.000000e-10]],0,3,1,,,,,,
947968875, client_var_med_img.txt,,,,,,,,,
947970334,[[8.47600000e+04 0.00000000e+00 3.80735492e+00]],0.768571429,0,0,,,,,,
947972511,[[8.47600000e+04 0.00000000e+00 4.08746284e+00]],0.946470588,0,3,,,,,,
947974620,[[6.69725833e+04 0.00000000e+00 3.58496250e+00]],0.439166667,0,0,,,,,,
947976804,[[8.476e+04 0.000e+00 4.000e+00]],0.9375,0,0,,,,,,
947978856,[[4.0204140e+05 0.0000000e+00 3.5898981e+00]],0.772,2,1,,,,,,
947978953, client_big_img.txt,,,,,,,,,
947981034,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.782307692,3,0,,,,,,
947983180,[[1.671167e+06 0.000000e+00 1.000000e-10]],0,3,2,,,,,,
947985351,[[1.669582e+06 0.000000e+00 1.000000e-10]],0,3,3,,,,,,
947987462,[[1.669582e+06 0.000000e+00 1.000000e-10]],0,3,1,,,,,,
947989234, client_med_img_2.txt,,,,,,,,,
947989966,[[9.00917667e+05 0.00000000e+00 4.13816850e-01]],0.405833333,2,2,,,,,,
947992063,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.537272727,2,0,,,,,,
947994169,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.286,2,1,,,,,,
947996382,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.847857143,2,1,,,,,,
947998436,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.99125,2,1,,,,,,
947999328, client_small_txt_1.txt,,,,,,,,,
948000495,[[8.30895000e+05 9.18000000e+02 3.09543429e-01]],0.996666667,2,1,,,,,,
948002603,[[0.00e+00 9.18e+02 1.00e-10]],0.988947368,1,2,,,,,,
948004799,[[0.00e+00 5.84e+02 1.00e-10]],0.990555556,1,0,,,,,,
948006990,[[0.00e+00 9.18e+02 1.00e-10]],0.976666667,1,3,,,,,,
948009207,[[0.00e+00 5.84e+02 1.00e-10]],0.958461538,1,1,,,,,,
