,,,config,category
520559426,[[3.276757e+06 0.000000e+00 2.000000e+00]],0,2,2
520561579,[[3.272814e+06 0.000000e+00 1.000000e-10]],0,2,0
520564054,[[3.27675700e+06 0.00000000e+00 3.45943162e+00]],0.380909091,2,0
520566074,[[3.27675700e+06 0.00000000e+00 3.45943162e+00]],0.31999999999999995,2,1
520566656, client_var_med_img.txt,,,
520568140,[[3.30298231e+05 0.00000000e+00 3.70043972e+00]],0.6353846153846154,0,0
520570200,[[8.476000e+04 0.000000e+00 4.169925e+00]],0.9677777777777777,0,0
520572221,[[8.476000e+04 0.000000e+00 4.169925e+00]],0.9633333333333334,0,0
520574243,[[8.47600000e+04 0.00000000e+00 4.24792751e+00]],0.9689473684210527,0,3
520576356,[[6.69728571e+04 0.00000000e+00 3.80735492e+00]],0.7150000000000001,0,0
520576718, client_big_img.txt,,,
520578413,[[1.44453743e+06 0.00000000e+00 7.34529921e-01]],0.6978571428571428,2,1
520580478,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.8928571428571429,2,1
520582503,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.999375,2,1
520584530,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.99875,2,1
520586565,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.9973333333333333,2,1
520586796, client_med_img_2.txt,,,
520588591,[[8.83412000e+05 0.00000000e+00 3.37290067e-01]],0.9375,2,1
520590626,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.9988235294117647,2,1
520592657,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.99375,2,1
520594709,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.984,2,1
520596739,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.986875,2,1
520596859, client_small_txt_1.txt,,,
520598784,[[0.00e+00 9.18e+02 1.00e-10]],0.9911111111111112,1,0
520600859,[[0.00e+00 9.18e+02 1.00e-10]],0.9683333333333334,1,3
520602976,[[0.00e+00 5.84e+02 1.00e-10]],0.94375,1,2
520605149,[[0.00e+00 5.84e+02 1.00e-10]],0.9905555555555555,1,1
520606968, client_var_big_img.txt,,,
520607239,[[0.00e+00 9.18e+02 1.00e-10]],0.9886666666666667,1,0
520609274,[[3.27675700e+06 0.00000000e+00 3.32192809e+00]],0.1259999999999999,2,1
520611431,[[3.27675700e+06 0.00000000e+00 2.32192809e+00]],0,2,3
520613615,[[3.272815e+06 0.000000e+00 1.000000e+00]],0,2,2
520615895,[[3.272814e+06 0.000000e+00 1.000000e-10]],0,2,1
520617187, client_var_med_img.txt,,,
520618601,[[3.30298231e+05 0.00000000e+00 3.70043972e+00]],0.6176923076923077,0,0
520620664,[[8.476000e+04 0.000000e+00 4.169925e+00]],0.9788888888888889,0,2
520622748,[[6.69724286e+04 0.00000000e+00 3.80735492e+00]],0.7457142857142858,0,0
520624792,[[8.476000e+04 0.000000e+00 4.169925e+00]],0.9761111111111112,0,0
520626815,[[8.476000e+04 0.000000e+00 4.169925e+00]],0.9783333333333334,0,3
520628939,[[6.6973e+04 0.0000e+00 1.0000e+00]],0.74,0,2
 9.18e+02 1.00e-10]],0.9872222222222222,1,2,
,,,,
,,,,
total response time: 16547.754154217815,,,,
   Category  BestConfigIndex  MeanReward  VarianceReward  Count  TotalCount,,,,
0         0                2    0.206141        0.048127      5          46,,,,
1         1                0    0.894248        0.031156      6          26,,,,
2         2                1    0.759240        0.127477     26          51,,,,
,,,,
vigilance 0.1,,,,
